Original sample number,Handle,Site name,scientificName,order,superfamily*,family,subfamily*,genus,specificEpithet,scientificNameAuthorship,organismQuantity,lifeStage,sex,sexRatio*,males,females,males and females text,recordedBy,continent,waterBody,islandGroup,island,country,stateProvince,municipality,locality,verbatimLocality,geodeticDatum,decimalLatitude,decimalLongitude,verbatimElevation,typeLocality*,verbatimDepth,year,month,day,eventDate,habitat,substrate*,vegetation*,temperature*,pH*,conductivity*,salinity*,dissolved oxygen*,basisOfRecord,nameInPaper,bibliographicCitation,comments*
Y26-20150518,EA001240,Zhenglan Banner,"Cyclocypris pangi Yu et al., 2022",Podocopida,Cypridoidea,Candonidae,Cyclocypridinae,Cyclocypris,pangi,"Yu et al., 2022",1,,,,,,1 specimen,"Zhai, Dayou",Asia,,,,China,Inner Mongolia,Xilingol League,Zhenglan Banner,,,43.005690,115.793030,1263,,,2015,05,18,2015-05-18,"pond, artificial",,macrophytes,,,458,,,published record,"Cyclocypris pangi Yu et al., 2022","Zhai, D., Ma, S., Wen, R., Wang, M., Wand, Q. & Yu, N. 2022. Disturbed aquatic habitats in central-eastern Inner Mongolia revealed by the prevalence of widespread ostracod species. Ecological Indicators, 143, 109301.",
Y26-20150518,EA001240,Zhenglan Banner,"Fabaeformiscandona alexandri (Sywula, 1981)",Podocopida,Cypridoidea,Candonidae,Candoninae,Fabaeformiscandona,alexandri,"(Sywula, 1981)",1,,,,,,1 specimen,"Zhai, Dayou",Asia,,,,China,Inner Mongolia,Xilingol League,Zhenglan Banner,,,43.005690,115.793030,1263,,,2015,05,18,2015-05-18,"pond, artificial",,macrophytes,,,458,,,published record,"Fabaeformiscandona alexandri (Sywula, 1981)","Zhai, D., Ma, S., Wen, R., Wang, M., Wand, Q. & Yu, N. 2022. Disturbed aquatic habitats in central-eastern Inner Mongolia revealed by the prevalence of widespread ostracod species. Ecological Indicators, 143, 109301.",
Y26-20150518,EA001240,Zhenglan Banner,"Pseudocandona cheni Yu et al., 2022",Podocopida,Cypridoidea,Candonidae,Candoninae,Pseudocandona,cheni,"Yu et al., 2022",21,,,,,,21 specimens,"Zhai, Dayou",Asia,,,,China,Inner Mongolia,Xilingol League,Zhenglan Banner,,,43.005690,115.793030,1263,,,2015,05,18,2015-05-18,"pond, artificial",,macrophytes,,,458,,,published record,"Pseudocandona cheni Yu et al., 2022","Zhai, D., Ma, S., Wen, R., Wang, M., Wand, Q. & Yu, N. 2022. Disturbed aquatic habitats in central-eastern Inner Mongolia revealed by the prevalence of widespread ostracod species. Ecological Indicators, 143, 109301.",
Y27-20150518,EA001241,Zhenglan Banner,"Heterocypris incongruens (Ramdohr, 1808)",Podocopida,Cypridoidea,Cyprididae,Cyprinotinae,Heterocypris,incongruens,"(Ramdohr, 1808)",76,,,,,,76 specimens,"Zhai, Dayou",Asia,,,,China,Inner Mongolia,Xilingol League,Zhenglan Banner,,,43.003780,115.798170,1262,,,2015,05,18,2015-05-18,"pond, artificial",,macrophytes,,,592,,,published record,"Heterocypris incongruens (Ramdohr, 1808)","Zhai, D., Ma, S., Wen, R., Wang, M., Wand, Q. & Yu, N. 2022. Disturbed aquatic habitats in central-eastern Inner Mongolia revealed by the prevalence of widespread ostracod species. Ecological Indicators, 143, 109301.",
Y28-20150518,EA001242,Zhenglan Banner,"Heterocypris incongruens (Ramdohr, 1808)",Podocopida,Cypridoidea,Cyprididae,Cyprinotinae,Heterocypris,incongruens,"(Ramdohr, 1808)",200,,,,,,200 specimens,"Zhai, Dayou",Asia,,,,China,Inner Mongolia,Xilingol League,Zhenglan Banner,,,42.994830,115.803500,1267,,,2015,05,18,2015-05-18,"pond, artificial",,macrophytes,,,914,,,published record,"Heterocypris incongruens (Ramdohr, 1808)","Zhai, D., Ma, S., Wen, R., Wang, M., Wand, Q. & Yu, N. 2022. Disturbed aquatic habitats in central-eastern Inner Mongolia revealed by the prevalence of widespread ostracod species. Ecological Indicators, 143, 109301.",
Y29-20150518,EA001243,Zhenglan Banner,"Cypris pubera O. F. Müller, 1776",Podocopida,Cypridoidea,Cyprididae,Cypridinae,Cypris,pubera,"O. F. Müller, 1776",2,,,,,,2 specimens,"Zhai, Dayou",Asia,,,,China,Inner Mongolia,Xilingol League,Zhenglan Banner,,,42.990280,115.806530,1266,,,2015,05,18,2015-05-18,pond,,macrophytes,,,2395,,,published record,"Cypris pubera O. F. Müller, 1776","Zhai, D., Ma, S., Wen, R., Wang, M., Wand, Q. & Yu, N. 2022. Disturbed aquatic habitats in central-eastern Inner Mongolia revealed by the prevalence of widespread ostracod species. Ecological Indicators, 143, 109301.",
Y29-20150518,EA001243,Zhenglan Banner,"Heterocypris incongruens (Ramdohr, 1808)",Podocopida,Cypridoidea,Cyprididae,Cyprinotinae,Heterocypris,incongruens,"(Ramdohr, 1808)",4,,,,,,4 specimens,"Zhai, Dayou",Asia,,,,China,Inner Mongolia,Xilingol League,Zhenglan Banner,,,42.990280,115.806530,1266,,,2015,05,18,2015-05-18,pond,,macrophytes,,,2395,,,published record,"Heterocypris incongruens (Ramdohr, 1808)","Zhai, D., Ma, S., Wen, R., Wang, M., Wand, Q. & Yu, N. 2022. Disturbed aquatic habitats in central-eastern Inner Mongolia revealed by the prevalence of widespread ostracod species. Ecological Indicators, 143, 109301.",
Y29-20150518,EA001243,Zhenglan Banner,"Physocypria kraepelini G. W. Müller, 1903",Podocopida,Cypridoidea,Candonidae,Cyclocypridinae,Physocypria,kraepelini,"G. W. Müller, 1903",2,,,,,,2 specimens,"Zhai, Dayou",Asia,,,,China,Inner Mongolia,Xilingol League,Zhenglan Banner,,,42.990280,115.806530,1266,,,2015,05,18,2015-05-18,pond,,macrophytes,,,2395,,,published record,"Physocypria kraepelini G. W. Müller, 1903","Zhai, D., Ma, S., Wen, R., Wang, M., Wand, Q. & Yu, N. 2022. Disturbed aquatic habitats in central-eastern Inner Mongolia revealed by the prevalence of widespread ostracod species. Ecological Indicators, 143, 109301.",
Y30-20150518,EA001244,Zhenglan Banner,"Cyclocypris pangi Yu et al., 2022",Podocopida,Cypridoidea,Candonidae,Cyclocypridinae,Cyclocypris,pangi,"Yu et al., 2022",25,,,,,,25 specimens,"Zhai, Dayou",Asia,,,,China,Inner Mongolia,Xilingol League,Zhenglan Banner,,,42.982170,115.820560,1268,,,2015,05,18,2015-05-18,swamp,,macrophytes,,,562,,,published record,"Cyclocypris pangi Yu et al., 2022","Zhai, D., Ma, S., Wen, R., Wang, M., Wand, Q. & Yu, N. 2022. Disturbed aquatic habitats in central-eastern Inner Mongolia revealed by the prevalence of widespread ostracod species. Ecological Indicators, 143, 109301.",
Y30-20150518,EA001244,Zhenglan Banner,"Fabaeformiscandona alexandri (Sywula, 1981)",Podocopida,Cypridoidea,Candonidae,Candoninae,Fabaeformiscandona,alexandri,"(Sywula, 1981)",1,,,,,,1 specimen,"Zhai, Dayou",Asia,,,,China,Inner Mongolia,Xilingol League,Zhenglan Banner,,,42.982170,115.820560,1268,,,2015,05,18,2015-05-18,swamp,,macrophytes,,,562,,,published record,"Fabaeformiscandona alexandri (Sywula, 1981)","Zhai, D., Ma, S., Wen, R., Wang, M., Wand, Q. & Yu, N. 2022. Disturbed aquatic habitats in central-eastern Inner Mongolia revealed by the prevalence of widespread ostracod species. Ecological Indicators, 143, 109301.",
