GENUS,SPECIES,SUBSPECIES,AUTHOR,YEAR,PUBLISHED?,REFERENCE,NAME IN REFERENCE,LONDEG,LONMIN,LONSEC,LATDEG,LATMIN,LATSEC,COUNTRY,REGION,LOCALITY,SITE,DAY,MONTH,YEAR,NO SPEC,MALES?,SEX RATIO,ALTITUDE,DEPTH,pH,TEMP,COND,ENVIRONMENT,NATURAL HABITAT,ARTIFICIAL HABITAT,DURATION,WATER CHEMISTRY,SUBSTRATE,VEGETATION,AGE,ZONE OF COLL,COMMENTS,VALIDATION STATUS OF COORDINATES
Cyclocypris,laevis,,(O.F. Mueller),1776,1,Fryer 1993,Cyclocypris laevis (O.F.Muller),-2,-28,0,54,19,0,England,North Yorkshire,Sedbergh,,,,,,U,,183,,,,,LENTIC,SEEPAGE,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Cyclocypris,ovum,,(Jurine),1820,1,Fryer 1993,Cyclocypris ovum (Jurine),-2,-28,0,54,19,0,England,North Yorkshire,Sedbergh,,,,,,U,,183,,,,,LENTIC,SEEPAGE,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Cypria,ophtalmica,,(Jurine),1820,1,Fryer 1993,Cypria ophthalmica (Jurine),-2,-28,0,54,19,0,England,North Yorkshire,Sedbergh,,,,,,U,,183,,,,,LENTIC,SEEPAGE,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Potamocypris,villosa,,(Jurine),1820,1,Fryer 1993,Potamocypris villosa (Jurine),-2,-28,0,54,19,0,England,North Yorkshire,Sedbergh,,,,,,U,,183,,,,,LENTIC,SEEPAGE,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Candona,candida,,(O.F. Mueller),1776,1,Fryer 1993,Candona candida (O.F.Muller),-2,-8,-30,54,5,30,England,North Yorkshire,Great Close Mire,,,,,,U,,378,,7.97,,360,LENTIC,POND,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Neglecandona,neglecta,,(Sars),1887,1,Fryer 1993,Candona neglecta Sars,-2,-8,-30,54,5,30,England,North Yorkshire,Great Close Mire,,,,,,U,,378,,7.97,,360,LENTIC,POND,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Fabaeformiscandona,fabaeformis,,(Fischer),1851,1,Fryer 1993,Candona fabaeformis Fischer,-2,-8,-30,54,5,30,England,North Yorkshire,Great Close Mire,,,,,,U,,378,,7.97,,360,LENTIC,POND,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Herpetocypris,reptans,,(Baird),1835,1,Fryer 1993,Herpetocypris reptans (Baird),-2,-8,-30,54,5,30,England,North Yorkshire,Great Close Mire,,,,,,U,,378,,7.97,,360,LENTIC,POND,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Ilyocypris,bradyi,,Sars,1890,1,Fryer 1993,Ilyocypris bradyi Sars,-2,-8,-30,54,5,30,England,North Yorkshire,Great Close Mire,,,,,,U,,378,,7.97,,360,LENTIC,POND,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Cypria,ophtalmica,,(Jurine),1820,1,Fryer 1993,Cypria ophthalmica (Jurine),-2,-8,-30,54,5,30,England,North Yorkshire,Great Close Mire,,,,,,U,,378,,7.97,,360,LENTIC,POND,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Cyclocypris,laevis,,(O.F. Mueller),1776,1,Fryer 1993,Cyclocypris laevis (O.F.Muller),-2,-8,-30,54,5,30,England,North Yorkshire,Great Close Mire,,,,,,U,,378,,7.97,,360,LENTIC,POND,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Cyclocypris,ovum,,(Jurine),1820,1,Fryer 1993,Cyclocypris ovum (Jurine),-2,-8,-30,54,5,30,England,North Yorkshire,Great Close Mire,,,,,,U,,378,,7.97,,360,LENTIC,POND,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
Potamocypris,villosa,,(Jurine),1820,1,Fryer 1993,Potamocypris villosa (Jurine),-2,-8,-30,54,5,30,England,North Yorkshire,Great Close Mire,,,,,,U,,378,,7.97,,360,LENTIC,POND,,,FRESHWATER,,,POST_LAST_GLACIATION,,,amber
